,threshold_index,clipped,threshold_t,threshold_v,threshold_i,peak_index,peak_t,peak_v,peak_i,trough_index,trough_t,trough_v,trough_i,upstroke_index,upstroke,upstroke_t,upstroke_v,downstroke_index,downstroke,downstroke_t,downstroke_v,isi_type,fast_trough_index,fast_trough_t,fast_trough_v,fast_trough_i,adp_index,adp_t,adp_v,adp_i,slow_trough_index,slow_trough_t,slow_trough_v,slow_trough_i,width,upstroke_downstroke_ratio
0,12159,False,0.60795,-37.750244,50.0,12171,0.60855,27.832031,50.0,12214,0.6107,-55.786133,50.0,12168,278.32033112648213,0.6084,1.0375977,12176,-137.32911087574087,0.6088,4.0283203,detour,12198,0.6099,-54.56543,50.0,,,,,12214.0,0.6107,-55.7861328125,50.0,0.0006499999999999284,2.026666664858218
1,12594,False,0.6297,-33.416748,50.0,12609,0.6304500000000001,18.920898,50.0,12671,0.6335500000000001,-50.323486,50.0,12604,142.82227493824146,0.6302,-1.7089844,12617,-78.1250000000086,0.63085,-3.3569336,detour,12647,0.6323500000000001,-48.950195,50.0,,,,,12671.0,0.6335500000000001,-50.323486328125,50.0,0.0010000000000000009,1.8281251192092896
2,12984,False,0.6492,-32.196045,50.0,13003,0.65015,14.862061,50.0,13072,0.6536000000000001,-47.973633,50.0,12996,95.21484375001049,0.6498,-3.112793,13013,-54.93164528161892,0.6506500000000001,-1.8005371,detour,13047,0.65235,-45.532227,50.0,,,,,13072.0,0.6536000000000001,-47.9736328125,50.0,0.0013499999999999623,1.7333331863968586
3,13419,False,0.67095,-30.48706,50.0,13441,0.67205,14.953613,50.0,13524,0.6762,-46.783447,50.0,13431,74.46289528145573,0.67155,-4.333496,13459,-46.99707031250517,0.67295,-14.129639,detour,13491,0.67455,-44.34204,50.0,,,,,13524.0,0.6762,-46.783447265625,50.0,0.0016500000000000403,1.5844156834951122
4,13903,False,0.69515,-29.266357,50.0,13928,0.6964,13.366699,50.0,14021,0.7010500000000001,-47.302246,50.0,13916,62.25586403161973,0.6958000000000001,-7.873535,13945,-45.776367187505045,0.69725,-9.094238,detour,13983,0.69915,-44.98291,50.0,,,,,14021.0,0.7010500000000001,-47.30224609375,50.0,0.0018500000000000183,1.3600001017252603
5,14425,False,0.7212500000000001,-29.541016,50.0,14452,0.7226,15.319824,50.0,14544,0.7272000000000001,-47.851562,50.0,14439,62.255864031481494,0.72195,-7.3242188,14467,-45.166015625004974,0.72335,-5.92041,detour,14506,0.7253000000000001,-45.410156,50.0,,,,,14544.0,0.7272000000000001,-47.8515625,50.0,0.0018500000000000183,1.3783784814752438
6,15025,False,0.7512500000000001,-28.442383,50.0,15053,0.75265,13.885498,50.0,15154,0.7577,-48.431396,50.0,15039,54.93164528161892,0.75195,-4.3029785,15069,-43.94531250000484,0.7534500000000001,-7.232666,detour,15108,0.7554000000000001,-45.59326,50.0,,,,,15154.0,0.7577,-48.431396484375,50.0,0.0020499999999999963,1.2500001059638128
7,15629,False,0.7814500000000001,-28.167725,50.0,15653,0.7826500000000001,15.869141,50.0,15762,0.7881,-47.88208,50.0,15641,61.035160906619595,0.78205,-6.225586,15671,-45.166015625004974,0.7835500000000001,-8.483887,detour,15705,0.78525,-44.21997,50.0,,,,,15762.0,0.7881,-47.882080078125,50.0,0.0018500000000000183,1.3513514544512775
8,16253,False,0.81265,-29.47998,50.0,16279,0.8139500000000001,16.082764,50.0,16376,0.8188000000000001,-47.546387,50.0,16266,64.08691871911994,0.8133,-8.087158,16298,-41.50390625000457,0.8149000000000001,-9.82666,detour,16337,0.8168500000000001,-44.86084,50.0,,,,,16376.0,0.8188000000000001,-47.54638671875,50.0,0.0019000000000000128,1.5441177592558022
9,16889,False,0.84445,-29.174805,50.0,16916,0.8458,14.49585,50.0,17036,0.8518,-47.88208,50.0,16904,57.37305153161919,0.8452000000000001,-6.744385,16936,-42.11425781250464,0.8468,-7.2021484,detour,16976,0.8488,-44.525146,50.0,,,,,17036.0,0.8518,-47.882080078125,50.0,0.0020499999999999963,1.3623189511506453
10,17596,False,0.8798,-29.388428,50.0,17624,0.8812000000000001,14.190674,50.0,17752,0.8876000000000001,-46.539307,50.0,17614,53.71094215661879,0.8807,-0.64086914,17644,-39.0625000000043,0.8822000000000001,-8.148193,detour,17686,0.8843000000000001,-43.548584,50.0,,,,,17752.0,0.8876000000000001,-46.539306640625,50.0,0.0020499999999999963,1.3750001192092898
11,18320,False,0.916,-29.510498,50.0,18348,0.9174,16.571045,50.0,18447,0.92235,-47.88208,50.0,18334,54.93164528161892,0.9167000000000001,-7.2631836,18366,-42.11425781250464,0.9183,-6.134033,detour,18405,0.92025,-44.311523,50.0,,,,,18447.0,0.92235,-47.882080078125,50.0,0.0019500000000000073,1.3043479366578916
12,19073,False,0.95365,-28.686523,50.0,19099,0.9549500000000001,15.869141,50.0,19226,0.9613,-47.210693,50.0,19089,57.98340309411926,0.95445,0.091552734,19121,-43.94531250000484,0.9560500000000001,-11.199951,detour,19157,0.9578500000000001,-43.304443,50.0,,,,,19226.0,0.9613,-47.210693359375,50.0,0.0020000000000000018,1.3194445504082575
13,19825,False,0.9912500000000001,-28.442383,50.0,19855,0.99275,16.021729,50.0,19984,0.9992000000000001,-48.217773,50.0,19840,51.87988746900339,0.992,-7.1411133,19872,-43.334960937504775,0.9936,-3.9367676,detour,19912,0.9956,-44.37256,50.0,,,,,19984.0,0.9992000000000001,-48.2177734375,50.0,0.0020999999999999908,1.197183206045152
14,20628,False,1.0314,-28.015137,50.0,20657,1.03285,15.686035,50.0,20802,1.0401,-47.48535,50.0,20645,48.8281250001138,1.0322500000000001,1.6784668,20678,-38.45215076572529,1.0339,-10.894775,detour,20712,1.0356,-41.992188,50.0,,,,,20802.0,1.0401,-47.4853515625,50.0,0.0020999999999999908,1.269841192957072
15,21393,False,1.06965,-29.083252,50.0,21421,1.07105,16.784668,50.0,21559,1.07795,-48.37036,50.0,21409,55.54199684424232,1.0704500000000001,0.45776367,21443,-40.893554687595305,1.0721500000000002,-13.031006,detour,21486,1.0743,-45.532227,50.0,,,,,21559.0,1.07795,-48.370361328125,50.0,0.0020999999999999908,1.358209069095441
16,22095,False,1.1047500000000001,-28.625488,50.0,22120,1.106,16.906738,50.0,22250,1.1125,-46.417236,50.0,22109,63.476567156478914,1.10545,-0.79345703,22139,-40.283203125093884,1.10695,-5.584717,detour,22182,1.1091,-42.96875,50.0,,,,,22250.0,1.1125,-46.417236328125,50.0,0.0020000000000000018,1.5757576913474647
17,22840,False,1.1420000000000001,-30.029297,50.0,22870,1.1435,17.242432,50.0,22998,1.1499000000000001,-49.102783,50.0,22857,56.15234840674374,1.1428500000000001,-2.746582,22889,-43.94531249990726,1.14445,-4.638672,detour,22926,1.1463,-44.036865,50.0,,,,,22998.0,1.1499000000000001,-49.102783203125,50.0,0.0020999999999999908,1.2777778837472653
18,23567,False,1.17835,-29.60205,50.0,23596,1.1798,15.441895,50.0,23729,1.18645,-47.51587,50.0,23583,59.814457781752274,1.1791500000000001,-2.89917,23618,-39.67285156241628,1.1809,-9.918213,detour,23658,1.1829,-43.73169,50.0,,,,,23729.0,1.18645,-47.515869140625,50.0,0.0021500000000000963,1.5076924250743038
19,24286,False,1.2143000000000002,-29.968262,50.0,24317,1.21585,15.594482,50.0,24460,1.223,-47.668457,50.0,24302,55.54199684424232,1.2151,-4.852295,24339,-38.45215076572529,1.21695,-11.749268,detour,24373,1.21865,-42.297363,50.0,,,,,24460.0,1.223,-47.66845703125,50.0,0.0020999999999999908,1.4444444780901626
20,24936,False,1.2468000000000001,-29.876709,50.0,24966,1.2483,15.74707,50.0,44707,2.23535,-73.88306,0.0,24950,56.76269996899308,1.2475,-5.1879883,24983,-36.62109607822916,1.24915,-4.8828125,detour,25031,1.2515500000000002,-44.189453,50.0,,,,,,,,,0.0021499999999998742,1.5500000286102273
